Name,Temperature,Volume (ml),Calories (kcal),Caffeine (mg),Sugar (g),Fat (g),Sodium (mg),Price (KRW),Cafe,Category
ICE 딸기 연유 라떼,ICE,414.0,280.0,0.0,41.0,6.0,50.0,5500,투썸플레이스,주스/에이드/음료
ICE 키위 바나나 주스,ICE,473.0,200.0,0.0,35.0,0.0,0.0,5800,투썸플레이스,주스/에이드/음료
HOT 고구마 라떼,HOT,355.0,325.0,0.0,19.0,3.7,90.0,5500,투썸플레이스,주스/에이드/음료
ICE 고구마 라떼,ICE,414.0,320.0,0.0,28.0,4.0,80.0,5500,투썸플레이스,주스/에이드/음료
HOT 초콜릿 라떼,HOT,355.0,420.0,17.0,41.0,14.0,160.0,5200,투썸플레이스,주스/에이드/음료
ICE 초콜릿 라떼,ICE,414.0,340.0,16.0,32.0,11.0,130.0,5200,투썸플레이스,주스/에이드/음료
ICE 스초생 프라페,ICE,414.0,475.0,23.0,51.0,10.0,110.0,6100,투썸플레이스,주스/에이드/음료
ICE 민트 초코프라페,ICE,414.0,445.0,4.0,36.0,8.0,130.0,5800,투썸플레이스,주스/에이드/음료
ICE 로얄 밀크티 쉐이크,ICE,414.0,430.0,72.0,51.0,12.0,120.0,6300,투썸플레이스,주스/에이드/음료
ICE 초코 밀크 쉐이크,ICE,414.0,535.0,10.0,33.0,15.0,140.0,5600,투썸플레이스,주스/에이드/음료
ICE 요거트프라페,ICE,414.0,290.0,0.0,46.0,3.6,60.0,5800,투썸플레이스,주스/에이드/음료
ICE 스트로베리 피치프라페,ICE,414.0,295.0,0.0,66.0,0.0,45.0,6100,투썸플레이스,주스/에이드/음료
ICE 허니 레몬 에이드,ICE,473.0,205.0,0.0,44.0,0.0,15.0,5500,투썸플레이스,주스/에이드/음료
ICE 샤인머스켓 청포도 에이드,ICE,473.0,200.0,0.0,44.0,0.0,15.0,6300,투썸플레이스,주스/에이드/음료
ICE 복숭아에이드,ICE,473.0,185.0,0.0,38.0,0.0,30.0,6000,투썸플레이스,주스/에이드/음료
ICE 오렌지에이드,ICE,473.0,135.0,0.0,27.0,0.0,20.0,5800,투썸플레이스,주스/에이드/음료
ICE 자몽에이드,ICE,473.0,140.0,0.0,30.0,0.0,5.0,5800,투썸플레이스,주스/에이드/음료
ICE 블루베리 요거트 드링크,ICE,414.0,275.0,0.0,44.0,3.6,140.0,5300,투썸플레이스,주스/에이드/음료
ICE 오렌지 자몽 주스,ICE,473.0,140.0,0.0,27.0,0.0,1.0,6300,투썸플레이스,주스/에이드/음료
HOT 유자 생강차,HOT,355.0,215.0,0.0,43.0,0.0,20.0,5500,투썸플레이스,티
ICE 유자 생강차,ICE,414.0,220.0,0.0,44.0,0.0,20.0,5500,투썸플레이스,티
HOT 레몬 아이스티,HOT,591.0,150.0,19.0,33.0,0.0,0.0,5000,투썸플레이스,티
HOT 복숭아 아이스티,HOT,591.0,160.0,21.0,35.0,0.0,15.0,5000,투썸플레이스,티
ICE 제주 유기농 녹차,ICE,473.0,0.0,63.0,0.0,0.0,0.0,4800,투썸플레이스,티
HOT 아이스 제주 유기농 녹차,HOT,473.0,0.0,63.0,0.0,0.0,0.0,4800,투썸플레이스,티
HOT 민트,HOT,473.0,0.0,47.0,0.0,0.0,5.0,5100,투썸플레이스,티
ICE 민트,ICE,473.0,0.0,47.0,0.0,0.0,5.0,5100,투썸플레이스,티
HOT 얼그레이,HOT,473.0,0.0,73.0,0.0,0.0,0.0,5100,투썸플레이스,티
