Name,Temperature,Volume (ml),Calories (kcal),Caffeine (mg),Sugar (g),Fat (g),Sodium (mg),Price (KRW),Cafe,Category
HOT 자몽허니블랙티,HOT,600.0,195.0,0.0,46.0,16.0,39.0,3500,더 벤티,티
ICE 유자애플티,ICE,600.0,256.0,0.0,26.0,0.0,40.0,3500,더 벤티,티
HOT 유자애플티,HOT,600.0,256.0,0.0,26.0,0.0,40.0,3500,더 벤티,티
ICE 레몬민트티,ICE,600.0,237.0,0.0,49.0,0.0,20.0,3500,더 벤티,티
HOT 레몬민트티,HOT,600.0,237.0,0.0,49.0,0.0,20.0,3500,더 벤티,티
ICE 유자캐모마일티,ICE,600.0,304.0,0.0,64.0,0.0,10.0,3500,더 벤티,티
HOT 유자캐모마일티,HOT,600.0,304.0,0.0,64.0,0.0,10.0,3500,더 벤티,티
ICE 애플히비스커스티,ICE,600.0,0.0,0.0,0.0,0.0,2.0,2500,더 벤티,티
HOT 애플히비스커스티,HOT,600.0,0.0,0.0,0.0,0.0,2.0,2500,더 벤티,티
ICE 리치캐모마일티,ICE,600.0,0.0,0.0,0.0,0.0,3.0,2500,더 벤티,티
HOT 리치캐모마일 티,HOT,600.0,0.0,0.0,0.0,0.0,3.0,2500,더 벤티,티
ICE 청귤얼그레이티,ICE,600.0,0.0,0.0,0.0,0.0,3.0,2500,더 벤티,티
HOT 청귤얼그레이티,HOT,600.0,0.0,0.0,0.0,0.0,3.0,2500,더 벤티,티
ICE 트리플민트티,ICE,600.0,0.0,0.0,0.0,0.0,3.0,2500,더 벤티,티
HOT 트리플민트티,HOT,600.0,0.0,0.0,0.0,0.0,3.0,2500,더 벤티,티
HOT 판단 피스타치오 카페라떼,HOT,600.0,355.0,296.0,44.0,7.5,222.0,3900,더 벤티,커피
ICE 판단 피스타치오 카페라떼,ICE,600.0,277.0,296.0,38.0,4.8,162.0,3900,더 벤티,커피
HOT 판단 코코넛 카페라떼,HOT,600.0,331.0,296.0,37.0,8.9,176.0,3900,더 벤티,커피
ICE 판단 코코넛 카페라떼,ICE,600.0,259.0,296.0,32.0,6.3,121.0,3900,더 벤티,커피
ICE 판단 바나나커피 프라페,ICE,600.0,466.0,26.0,79.0,6.8,117.0,4500,더 벤티,스무디/프라페
ICE 판단 코코넛커피 프라페,ICE,600.0,328.0,26.0,31.0,11.5,142.0,4500,더 벤티,스무디/프라페
HOT 디카페인 아메리카노,HOT,600.0,11.0,26.0,0.0,0.1,0.0,2800,더 벤티,디카페인
ICE 디카페인 아메리카노,ICE,600.0,11.0,26.0,0.0,0.1,0.0,2800,더 벤티,디카페인
HOT 디카페인 카페라떼,HOT,600.0,242.0,26.0,18.0,8.1,176.0,3800,더 벤티,디카페인
ICE 디카페인 카페라떼,ICE,600.0,160.0,26.0,11.0,5.2,113.0,3800,더 벤티,디카페인
HOT 디카페인 오트카페라떼,HOT,600.0,235.0,26.0,11.0,1.1,158.0,4600,더 벤티,디카페인
ICE 디카페인 오트카페라떼,ICE,600.0,156.0,26.0,7.0,0.7,102.0,4600,더 벤티,디카페인
HOT 디카페인 바닐라딥라떼,HOT,600.0,403.0,26.0,32.0,10.0,260.0,4300,더 벤티,디카페인
ICE 디카페인 바닐라딥라떼,ICE,600.0,341.0,26.0,27.0,7.8,212.0,4300,더 벤티,디카페인
HOT 디카페인 헤이즐넛딥라떼,HOT,600.0,359.0,26.0,11.0,11.2,206.0,4300,더 벤티,디카페인
ICE 디카페인 헤이즐넛딥라떼,ICE,600.0,297.0,26.0,31.0,9.0,159.0,4300,더 벤티,디카페인
HOT 디카페인 연유라떼,HOT,600.0,424.0,26.0,45.0,10.3,215.0,4300,더 벤티,디카페인
ICE 디카페인 연유라떼,ICE,600.0,363.0,26.0,40.0,8.2,167.0,4300,더 벤티,디카페인
ICE 디카페인 아인슈페너,ICE,600.0,504.0,26.0,37.0,23.9,93.0,4300,더 벤티,디카페인
HOT 디카페인 코코넛라떼,HOT,600.0,317.0,26.0,26.0,10.6,198.0,4300,더 벤티,디카페인
ICE 디카페인 코코넛 라떼,ICE,600.0,256.0,26.0,21.0,8.4,150.0,4300,더 벤티,디카페인
HOT 디카페인 카페모카,HOT,600.0,483.0,26.0,36.0,15.1,230.0,4300,더 벤티,디카페인
ICE 디카페인 카페모카,ICE,600.0,421.0,26.0,31.0,12.9,182.0,4300,더 벤티,디카페인
HOT 디카페인 카라멜 마끼야또,HOT,600.0,363.0,26.0,37.0,7.4,169.0,4300,더 벤티,디카페인
ICE 디카페인 카라멜 마끼야또,ICE,600.0,281.0,26.0,41.0,4.5,106.0,4300,더 벤티,디카페인
ICE 디카페인 아이스크림 라떼,ICE,600.0,270.0,26.0,45.0,9.5,143.0,4700,더 벤티,디카페인
ICE 디카페인 에스프레소 쉐이크,ICE,600.0,484.0,26.0,59.0,12.9,191.0,4700,더 벤티,디카페인
ICE 디카페인 콜드브루,ICE,600.0,14.0,26.0,0.0,0.0,92.0,3300,더 벤티,디카페인
ICE 디카페인 콜드브루 라떼,ICE,600.0,160.0,26.0,11.0,5.2,113.0,3800,더 벤티,디카페인
ICE 디카페인 바닐라 크림 콜드브루,ICE,600.0,263.0,26.0,33.0,7.2,12.0,4000,더 벤티,디카페인
ICE 디카페인 헤이즐넛 크림 콜드브루,ICE,600.0,253.0,26.0,32.0,7.2,13.0,4000,더 벤티,디카페인
ICE 디카페인 코코넛커피프라페,ICE,600.0,328.0,0.0,31.0,11.5,142.0,4500,더 벤티,디카페인
ICE 저당 디카페인 코코넛 커피 프라페,ICE,600.0,247.0,0.0,11.0,11.5,140.0,4500,더 벤티,디카페인
HOT 룽고,HOT,300.0,15.0,225.0,0.0,0.0,0.0,5300,폴바셋,커피
ICE 룽고,ICE,300.0,15.0,225.0,0.0,0.0,0.0,5300,폴바셋,커피
HOT 아메리카노,HOT,360.0,10.0,160.0,0.0,0.0,0.0,4700,폴바셋,커피
ICE 아메리카노,ICE,360.0,10.0,160.0,0.0,0.0,0.0,4700,폴바셋,커피
HOT 제주말차 크림 카페라떼,HOT,360.0,290.0,384.0,20.0,10.0,80.0,6900,폴바셋,라떼/기타
ICE 제주말차 크림 카페라떼,ICE,360.0,230.0,364.0,19.0,8.0,55.0,6900,폴바셋,라떼/기타
HOT 카페라떼,HOT,360.0,210.0,225.0,15.0,7.0,150.0,5900,폴바셋,라떼/기타
ICE 카페라떼,ICE,360.0,135.0,225.0,9.0,4.2,90.0,5900,폴바셋,라떼/기타
HOT 락토프리 카페라떼,HOT,360.0,180.0,225.0,9.0,7.0,120.0,5900,폴바셋,라떼/기타
ICE 락토프리 카페라떼,ICE,360.0,115.0,225.0,5.0,4.0,75.0,5900,폴바셋,라떼/기타
HOT 카페오트,HOT,360.0,235.0,225.0,4.0,1.0,145.0,5900,폴바셋,라떼/기타
ICE 카페오트,ICE,360.0,145.0,225.0,3.0,0.6,90.0,5900,폴바셋,라떼/기타
HOT 스페니쉬 카페라떼,HOT,360.0,310.0,225.0,28.0,12.0,115.0,6500,폴바셋,라떼/기타
ICE 스페니쉬 카페라떼,ICE,360.0,295.0,225.0,28.0,11.0,100.0,6500,폴바셋,라떼/기타
HOT 플랫화이트,HOT,230.0,120.0,225.0,7.0,3.7,75.0,5900,폴바셋,라떼/기타
ICE 플랫화이트,ICE,230.0,105.0,185.0,7.0,3.3,70.0,5900,폴바셋,라떼/기타
HOT 바닐라빈 카페 라떼,HOT,360.0,250.0,225.0,22.0,6.0,65.0,6500,폴바셋,라떼/기타
ICE 바닐라빈 카페 라떼,ICE,360.0,190.0,225.0,15.0,4.0,50.0,6500,폴바셋,라떼/기타
HOT 카푸치노,HOT,360.0,210.0,225.0,15.0,7.0,150.0,5900,폴바셋,라떼/기타
HOT 시나몬 카페 라떼,HOT,360.0,260.0,225.0,31.0,7.0,110.0,6500,폴바셋,라떼/기타
ICE 시나몬 카페라떼,ICE,360.0,185.0,225.0,22.0,4.4,55.0,6500,폴바셋,라떼/기타
HOT 카라멜 마키아토,HOT,360.0,600.0,225.0,68.0,14.0,245.0,6500,폴바셋,라떼/기타
ICE 카라멜 마키아토,ICE,360.0,405.0,225.0,43.0,12.0,170.0,6500,폴바셋,라떼/기타
HOT 카페 모카,HOT,360.0,330.0,225.0,26.0,10.0,105.0,6500,폴바셋,라떼/기타
ICE 카페 모카,ICE,360.0,280.0,225.0,22.0,10.0,70.0,6500,폴바셋,라떼/기타
HOT 에스프레소,HOT,60.0,15.0,225.0,0.0,0.0,0.0,4400,폴바셋,커피
HOT 리스트레토,HOT,46.0,10.0,150.0,0.0,0.0,0.0,4400,폴바셋,커피
HOT 마키아토 S,HOT,70.0,35.0,113.0,2.0,1.0,20.0,4400,폴바셋,커피
HOT 초콜릿 에스프레소 콘 파나,HOT,70.0,90.0,114.0,8.0,3.5,20.0,4900,폴바셋,커피
ICE 헤이즐넛크림 콜드브루라떼,ICE,230.0,160.0,96.0,14.0,4.7,60.0,6200,폴바셋,커피
ICE 메리코코 콜드브루,ICE,360.0,15.0,181.0,0.0,0.0,0.0,5500,폴바셋,커피
ICE 메리코코 콜드브루라떼,ICE,360.0,135.0,181.0,10.0,4.3,95.0,6500,폴바셋,커피
HOT 제주 말차 라떼,HOT,360.0,215.0,95.0,28.0,5.0,110.0,6300,폴바셋,티
ICE 제주 말차 라떼,ICE,360.0,175.0,95.0,25.0,3.0,80.0,6300,폴바셋,티
HOT 루이보스 밀크티,HOT,360.0,250.0,0.0,21.0,8.0,115.0,6300,폴바셋,티
ICE 루이보스 밀크티,ICE,360.0,215.0,0.0,18.0,8.0,90.0,6300,폴바셋,티
ICE 제주말차 배 프라페,ICE,360.0,250.0,51.0,55.0,0.0,41.0,7300,폴바셋,스무디/프라페
ICE 더블 초콜릿 프라페,ICE,360.0,340.0,13.0,41.0,7.0,150.0,6900,폴바셋,스무디/프라페
ICE 제주 말차 라떼 프라페,ICE,360.0,360.0,118.0,46.0,7.0,150.0,6900,폴바셋,스무디/프라페
ICE 커피칩 라떼 프라페,ICE,360.0,305.0,257.0,33.0,6.0,150.0,6900,폴바셋,스무디/프라페
ICE 망고 파인애플 프라페,ICE,360.0,220.0,0.0,47.0,0.1,30.0,6900,폴바셋,스무디/프라페
ICE 카라멜 마키아토 프라페,ICE,360.0,455.0,225.0,54.0,11.0,210.0,6900,폴바셋,스무디/프라페
ICE 딸기 바나나 요거트,ICE,360.0,275.0,0.0,42.0,1.4,90.0,6900,폴바셋,주스/에이드/음료
ICE 블루베리 바나나 요거트,ICE,360.0,300.0,0.0,48.0,1.3,125.0,6900,폴바셋,주스/에이드/음료
ICE 복숭아 바나나 요거트,ICE,360.0,330.0,0.0,52.0,1.3,85.0,6900,폴바셋,주스/에이드/음료
HOT 밀크 초콜릿,HOT,360.0,340.0,10.0,43.0,9.0,150.0,6300,폴바셋,라떼/기타
ICE 밀크 초콜릿,ICE,360.0,270.0,10.0,35.0,7.0,110.0,6300,폴바셋,라떼/기타
HOT 다크 초콜릿,HOT,360.0,360.0,20.0,42.0,5.0,125.0,6300,폴바셋,라떼/기타
ICE 다크 초콜릿,ICE,360.0,360.0,20.0,40.0,4.0,115.0,6300,폴바셋,라떼/기타
HOT 제주 한라봉 티,HOT,360.0,155.0,0.0,37.0,0.0,5.0,5900,폴바셋,티
HOT 쿨 민트 허브차,HOT,360.0,5.0,0.0,0.0,0.0,0.0,5500,폴바셋,티
ICE 쿨 민트 허브차,ICE,360.0,5.0,0.0,0.0,0.0,0.0,5500,폴바셋,티
HOT 크림슨 펀치 과일차,HOT,360.0,15.0,0.0,0.0,0.0,0.0,5500,폴바셋,티
ICE 크림슨 펀치 과일차,ICE,360.0,15.0,0.0,0.0,0.0,0.0,5500,폴바셋,티
HOT 로얄 캐모마일 허브차,HOT,360.0,5.0,0.0,0.0,0.0,0.0,5500,폴바셋,티
ICE 로얄 캐모마일 허브차,ICE,360.0,5.0,0.0,0.0,0.0,0.0,5500,폴바셋,티
HOT 샤인 다즐링 홍차,HOT,360.0,10.0,60.0,0.0,0.0,0.0,5500,폴바셋,티
ICE 샤인 다즐링 홍차,ICE,360.0,10.0,60.0,0.0,0.0,0.0,5500,폴바셋,티
ICE 아이스크림 카페 라떼,ICE,360.0,335.0,225.0,33.0,13.0,115.0,7500,폴바셋,주스/에이드/음료
ICE 제주말차 아이스크림 라떼,ICE,360.0,350.0,210.0,41.0,9.0,65.0,7900,폴바셋,주스/에이드/음료
ICE 밀크 크림컵,ICE,110.0,200.0,0.0,22.0,10.0,80.0,4300,폴바셋,주스/에이드/음료
ICE 밀크 크림콘,ICE,125.0,260.0,0.0,27.0,10.0,110.0,4300,폴바셋,주스/에이드/음료
ICE 허니넛 토핑 크림,ICE,150.0,400.0,0.0,38.0,7.0,55.0,6700,폴바셋,주스/에이드/음료
ICE 초코퍼지 토핑 크림,ICE,130.0,245.0,7.0,26.0,6.0,100.0,6700,폴바셋,주스/에이드/음료
ICE 마론 토핑 크림,ICE,150.0,310.0,0.0,42.0,4.8,65.0,6700,폴바셋,주스/에이드/음료
ICE 카라멜 토핑 크림,ICE,150.0,365.0,0.0,34.0,9.0,115.0,6700,폴바셋,주스/에이드/음료
ICE 밀크소프트아포가토,ICE,127.0,210.0,150.0,22.0,10.0,80.0,5300,폴바셋,주스/에이드/음료
ICE 초콜릿 아이스크림 라떼,ICE,360.0,405.0,11.0,47.0,11.0,150.0,7800,폴바셋,주스/에이드/음료
ICE 설향딸기 아이스크림 라떼,ICE,360.0,330.0,0.0,38.0,8.0,120.0,7800,폴바셋,주스/에이드/음료
ICE 디카페인 아이스크림 라떼,ICE,360.0,335.0,10.0,33.0,13.0,115.0,8000,폴바셋,디카페인
ICE 디카페인 밀크소프트아포카토,ICE,127.0,210.0,10.0,22.0,10.0,80.0,5800,폴바셋,디카페인
ICE 벌집꿀 토핑 크림,ICE,150.0,315.0,0.0,46.0,6.0,60.0,6900,폴바셋,주스/에이드/음료
HOT 디카페인 카페라떼,HOT,360.0,210.0,10.0,15.0,7.0,150.0,6400,폴바셋,디카페인
ICE 디카페인 카페라떼,ICE,360.0,135.0,10.0,9.0,4.2,90.0,6400,폴바셋,디카페인
HOT 디카페인 락토프리 카페라떼,HOT,360.0,180.0,10.0,9.0,7.0,120.0,6400,폴바셋,디카페인
ICE 디카페인 락토프리 카페라떼,ICE,360.0,115.0,10.0,5.0,4.0,75.0,6400,폴바셋,디카페인
HOT 디카페인 카페오트,HOT,360.0,235.0,10.0,4.0,1.0,145.0,6400,폴바셋,디카페인
ICE 디카페인 카페오트,ICE,360.0,145.0,10.0,3.0,0.6,90.0,6400,폴바셋,디카페인
HOT 디카페인 카푸치노,HOT,360.0,210.0,10.0,15.0,7.0,150.0,6400,폴바셋,디카페인
HOT 디카페인 플랫화이트,HOT,230.0,120.0,10.0,7.0,3.7,75.0,6400,폴바셋,디카페인
ICE 디카페인 플랫화이트,ICE,230.0,105.0,10.0,7.0,3.3,70.0,6400,폴바셋,디카페인
HOT 디카페인 스페니쉬 카페라떼,HOT,360.0,310.0,10.0,28.0,12.0,115.0,7000,폴바셋,디카페인
ICE 디카페인 스페니쉬 카페라떼,ICE,360.0,295.0,10.0,28.0,11.0,100.0,7000,폴바셋,디카페인
HOT 디카페인 바닐라빈 카페라떼,HOT,360.0,250.0,10.0,22.0,6.0,65.0,7000,폴바셋,디카페인
ICE 디카페인 바닐라빈 카페라떼,ICE,360.0,190.0,10.0,15.0,4.0,50.0,7000,폴바셋,디카페인
HOT 디카페인 카라멜 마키아토,HOT,360.0,600.0,10.0,68.0,14.0,245.0,7000,폴바셋,디카페인
ICE 디카페인 카라멜 마키아토,ICE,360.0,405.0,10.0,43.0,12.0,170.0,7000,폴바셋,디카페인
HOT 디카페인 아메리카노,HOT,360.0,10.0,10.0,0.0,0.0,0.0,5200,폴바셋,디카페인
ICE 디카페인 아메리카노,ICE,360.0,10.0,10.0,0.0,0.0,0.0,5200,폴바셋,디카페인
HOT 디카페인 시나몬 카페라떼,HOT,360.0,260.0,10.0,31.0,7.0,110.0,7000,폴바셋,디카페인
ICE 디카페인 시나몬 카페라떼,ICE,360.0,185.0,10.0,22.0,4.4,55.0,7000,폴바셋,디카페인
HOT 핸드드립메리코코,HOT,360.0,20.0,294.0,0.0,0.0,0.0,7400,폴바셋,커피
ICE 핸드드립메리코코,ICE,360.0,20.0,294.0,0.0,0.0,0.0,7400,폴바셋,커피
ICE 설향딸기 우유,ICE,360.0,215.0,0.0,36.0,3.2,70.0,7200,폴바셋,주스/에이드/음료
ICE 설향딸기 레몬에이드,ICE,460.0,175.0,0.0,36.0,0.0,25.0,6800,폴바셋,주스/에이드/음료
ICE 설향딸기 주스,ICE,360.0,125.0,0.0,27.0,0.0,0.0,7500,폴바셋,주스/에이드/음료
ICE 제주 한라봉 에이드,ICE,460.0,200.0,0.0,45.0,0.0,5.0,6900,폴바셋,주스/에이드/음료
ICE 납작복숭아 에이드,ICE,460.0,190.0,0.0,40.0,0.0,20.0,6900,폴바셋,주스/에이드/음료
ICE 제주 레몬 에이드,ICE,460.0,175.0,0.0,42.0,0.0,5.0,6900,폴바셋,주스/에이드/음료
HOT 멜로우 우바 홍차,HOT,360.0,10.0,50.0,0.0,0.0,0.0,5500,폴바셋,티
ICE 멜로우 우바 홍차,ICE,360.0,10.0,50.0,0.0,0.0,0.0,5500,폴바셋,티
HOT 설향딸기 레몬 티,HOT,360.0,170.0,0.0,32.0,0.0,20.0,6200,폴바셋,티
ICE 제주 오션 레몬 에이드,ICE,460.0,165.0,0.0,38.0,0.0,5.0,6600,폴바셋,주스/에이드/음료
ICE 제주 선셋 레몬 에이드,ICE,460.0,190.0,0.0,45.0,0.0,10.0,6600,폴바셋,주스/에이드/음료
HOT 크림드 라떼,HOT,230.0,180.0,185.0,12.0,4.0,65.0,6500,폴바셋,라떼/기타
ICE 콜드브루에티오피아 예가체프,ICE,360.0,15.0,152.0,0.0,0.0,5.0,5500,폴바셋,커피
ICE 콜드브루 라떼에티오피아 예가체프,ICE,360.0,135.0,152.0,10.0,4.3,100.0,6500,폴바셋,커피
HOT 헛개리카노,HOT,591.0,36.1,181.6,0.0,0.1,11.7,2400,메가커피,커피
ICE 헛개리카노,ICE,710.0,34.7,181.2,0.0,0.1,8.4,2400,메가커피,커피
ICE 왕메가카페라떼,ICE,946.0,278.7,347.1,28.4,7.1,136.2,4400,메가커피,커피
ICE 디카페인 왕메가카페라떼,ICE,946.0,278.7,11.2,0.0,0.0,0.0,5900,메가커피,디카페인
ICE 왕메가헛개리카노,ICE,946.0,55.7,234.6,0.0,0.1,12.2,3400,메가커피,커피
HOT 디카페인 헛개리카노,HOT,591.0,34.2,9.1,0.0,0.1,10.2,3400,메가커피,디카페인
ICE 디카페인 헛개리카노,ICE,710.0,33.3,5.3,0.0,0.1,8.3,3400,메가커피,디카페인
ICE 디카페인 왕메가헛개리카노,ICE,946.0,55.5,13.1,0.0,0.1,12.1,4900,메가커피,디카페인
ICE 할메가미숫커피,ICE,591.0,413.0,172.9,45.4,7.7,17.9,2700,메가커피,커피
ICE 라이트 바닐라 아몬드라떼,ICE,591.0,75.3,206.2,3.1,0.2,119.0,3900,메가커피,커피
ICE 연유라떼,ICE,591.0,351.5,165.9,31.9,8.5,123.6,3900,메가커피,커피
ICE 할메가커피,ICE,591.0,281.9,99.6,30.3,7.7,22.5,1900,메가커피,커피
ICE 왕할메가커피,ICE,946.0,468.7,196.4,48.5,12.3,36.8,2900,메가커피,커피
HOT 디카페인 아메리카노,HOT,591.0,8.4,11.4,0.0,0.1,8.4,3000,메가커피,디카페인
HOT 디카페인 꿀아메리카노,HOT,591.0,149.3,11.3,26.2,0.1,7.5,3700,메가커피,디카페인
HOT 디카페인 헤이즐넛 아메리카노,HOT,591.0,84.2,6.9,10.3,0.0,5.3,3700,메가커피,디카페인
HOT 디카페인 바닐라 아메리카노,HOT,591.0,86.9,9.1,16.9,0.1,5.1,3700,메가커피,디카페인
HOT 디카페인 카페라떼,HOT,591.0,178.5,17.0,11.4,4.8,102.1,3900,메가커피,디카페인
HOT 디카페인 카푸치노,HOT,591.0,152.9,4.5,10.4,11.3,80.6,3900,메가커피,디카페인
HOT 디카페인 바닐라라떼,HOT,591.0,219.5,8.9,29.1,4.7,85.8,4400,메가커피,디카페인
HOT 디카페인 헤이즐넛 라떼,HOT,591.0,240.0,9.4,18.2,4.3,81.4,4400,메가커피,디카페인
HOT 디카페인 카라멜마끼아또,HOT,591.0,238.5,7.8,21.3,4.2,91.3,4700,메가커피,디카페인
HOT 디카페인 연유라떼,HOT,591.0,301.5,9.8,27.3,6.4,127.1,4900,메가커피,디카페인
HOT 디카페인 카페모카,HOT,591.0,430.3,22.8,36.1,13.8,181.6,4900,메가커피,디카페인
HOT 디카페인 티라미수라떼,HOT,591.0,436.7,12.1,37.2,14.2,194.9,4900,메가커피,디카페인
ICE 디카페인 아메리카노,ICE,710.0,9.5,10.8,0.0,0.1,4.4,3000,메가커피,디카페인
ICE 디카페인 메가리카노,ICE,946.0,17.1,10.9,0.0,0.1,7.9,4500,메가커피,디카페인
ICE 디카페인 꿀아메리카노,ICE,710.0,137.4,8.7,21.5,0.1,5.0,3700,메가커피,디카페인
ICE 디카페인 헤이즐넛 아메리카노,ICE,710.0,108.7,11.2,15.8,0.0,5.2,3700,메가커피,디카페인
ICE 디카페인 바닐라 아메리카노,ICE,710.0,112.4,8.8,21.6,0.1,3.3,3700,메가커피,디카페인
ICE 디카페인 카페라떼,ICE,591.0,147.7,14.4,9.3,4.5,78.0,3900,메가커피,디카페인
ICE 디카페인 카푸치노,ICE,591.0,127.0,11.4,10.1,3.7,68.3,3900,메가커피,디카페인
ICE 디카페인 바닐라라떼,ICE,591.0,225.3,8.4,29.0,3.9,71.4,4400,메가커피,디카페인
ICE 디카페인 헤이즐넛 라떼,ICE,591.0,237.0,4.8,23.4,4.0,70.7,4400,메가커피,디카페인
ICE 디카페인 카라멜마끼아또,ICE,591.0,232.9,8.2,26.3,3.6,68.7,4700,메가커피,디카페인
ICE 디카페인 연유라떼,ICE,591.0,305.4,14.9,35.1,7.0,117.7,4900,메가커피,디카페인
ICE 디카페인 카페모카,ICE,591.0,319.7,0.0,0.0,9.6,117.7,4900,메가커피,디카페인
ICE 디카페인 티라미수라떼,ICE,591.0,404.3,0.0,37.5,11.6,176.6,4900,메가커피,디카페인
ICE 콜드브루디카페인,ICE,710.0,7.7,8.7,0.0,0.0,0.0,3500,메가커피,디카페인
HOT 콜드브루 디카페인,HOT,591.0,9.4,13.1,0.0,0.0,0.0,3500,메가커피,디카페인
ICE 콜드브루디카페인라떼,ICE,591.0,140.8,0.0,0.0,0.0,45.6,4000,메가커피,디카페인
HOT 콜드브루디카페인라떼,HOT,591.0,153.8,0.0,0.0,3.8,0.0,4000,메가커피,디카페인
HOT 에스프레소,HOT,59.0,7.6,104.8,0.0,0.0,0.2,1500,메가커피,커피
HOT 에스프레소 도피오,HOT,147.0,15.2,184.7,0.0,0.1,0.4,2000,메가커피,커피
HOT 아메리카노,HOT,591.0,12.2,204.2,0.0,0.0,2.4,1500,메가커피,커피
HOT 티라미수라떼,HOT,591.0,419.5,206.9,38.4,13.1,194.5,3900,메가커피,커피
ICE 메가리카노,ICE,946.0,16.7,290.8,0.0,0.0,0.7,2700,메가커피,커피
ICE 티라미수라떼,ICE,591.0,400.6,196.0,37.8,12.6,174.3,3900,메가커피,커피
HOT 꿀아메리카노,HOT,591.0,172.4,0.0,30.4,0.0,12.7,2700,메가커피,커피
HOT 바닐라라떼,HOT,591.0,235.2,189.9,29.6,4.7,86.9,3400,메가커피,커피
HOT 바닐라아메리카노,HOT,591.0,97.8,220.7,15.7,0.1,5.3,2700,메가커피,커피
HOT 연유라떼,HOT,591.0,321.6,194.2,32.8,6.4,144.6,3900,메가커피,커피
HOT 카라멜마끼아또,HOT,591.0,244.9,206.7,20.9,5.0,76.1,3900,메가커피,커피
HOT 카페라떼,HOT,591.0,175.4,189.9,10.8,5.2,101.5,2900,메가커피,커피
HOT 카페모카,HOT,591.0,359.6,233.2,0.0,10.6,0.0,3900,메가커피,커피
HOT 카푸치노,HOT,591.0,145.5,201.4,3.4,4.1,60.7,2900,메가커피,커피
HOT 콜드브루라떼,HOT,591.0,164.2,216.7,2.1,5.2,54.4,4000,메가커피,커피
HOT 콜드브루 오리지널,HOT,591.0,10.6,217.0,0.0,0.0,1.5,3500,메가커피,커피
HOT 헤이즐넛라떼,HOT,591.0,240.5,204.6,9.7,5.1,63.1,3400,메가커피,커피
HOT 헤이즐넛아메리카노,HOT,591.0,82.7,209.8,9.5,0.0,2.6,2700,메가커피,커피
ICE 꿀아메리카노,ICE,710.0,162.2,198.6,30.6,0.1,7.2,2700,메가커피,커피
ICE 바닐라라떼,ICE,591.0,239.2,195.1,23.7,3.9,74.1,3400,메가커피,커피
ICE 바닐라아메리카노,ICE,710.0,122.7,211.5,20.2,0.1,3.6,2700,메가커피,커피
ICE 카라멜마끼아또,ICE,591.0,243.9,208.0,18.5,3.9,61.1,3900,메가커피,커피
ICE 카페라떼,ICE,591.0,145.1,199.1,9.2,3.8,88.5,2900,메가커피,커피
ICE 카페모카,ICE,591.0,294.4,0.0,0.0,0.0,113.3,3900,메가커피,커피
ICE 카푸치노,ICE,591.0,132.4,192.3,1.1,4.2,54.8,2900,메가커피,커피
ICE 콜드브루 라떼,ICE,591.0,167.6,131.7,2.3,4.1,35.4,4000,메가커피,커피
ICE 헤이즐넛라떼,ICE,591.0,237.4,216.9,10.8,4.6,57.0,3400,메가커피,커피
ICE 헤이즐넛아메리카노,ICE,710.0,113.6,196.7,15.8,0.0,0.6,2700,메가커피,커피
ICE 큐브라떼,ICE,591.0,304.4,313.4,15.0,7.8,72.1,4200,메가커피,커피
ICE 아메리카노,ICE,710.0,12.2,199.7,0.0,0.0,1.5,1500,메가커피,커피
HOT 피넛츠 카페라떼,HOT,591.0,344.0,92.7,48.0,1.8,302.4,3900,메가커피,커피
ICE 피넛츠 카페라떼,ICE,591.0,333.1,0.0,44.5,1.7,0.0,3900,메가커피,커피
ICE 콜드브루 오리지널,ICE,710.0,7.2,156.4,0.0,0.0,0.0,3500,메가커피,커피
ICE 왕메가사과유자,ICE,946.0,313.3,0.0,0.0,0.0,120.4,4400,메가커피,티
HOT 상큼 리치티,HOT,591.0,274.8,0.0,64.1,0.0,10.1,3900,메가커피,티
ICE 상큼 리치티,ICE,710.0,260.1,0.0,61.9,0.0,0.0,3900,메가커피,티
ICE 왕메가아이스티,ICE,946.0,474.8,41.2,96.6,0.0,119.2,3900,메가커피,티
ICE 제로 복숭아 아이스티,ICE,710.0,26.1,14.5,0.7,0.0,5.3,3000,메가커피,티
HOT 녹차,HOT,591.0,0.7,65.3,0.0,0.0,4.2,2500,메가커피,티
HOT 사과유자차,HOT,591.0,227.1,0.0,47.0,0.0,89.3,3300,메가커피,티
HOT 얼그레이,HOT,591.0,0.7,73.4,0.0,0.0,4.2,2500,메가커피,티
HOT 캐모마일,HOT,591.0,0.5,0.0,0.0,0.0,5.5,2500,메가커피,티
HOT 페퍼민트,HOT,591.0,0.2,0.0,0.0,0.0,5.3,2500,메가커피,티
ICE 녹차,ICE,710.0,1.0,78.5,0.0,0.0,2.1,2500,메가커피,티
ICE 사과유자차,ICE,710.0,242.2,0.0,37.5,0.0,74.5,3300,메가커피,티
ICE 얼그레이,ICE,710.0,1.3,87.2,0.0,0.0,2.1,2500,메가커피,티
ICE 캐모마일,ICE,710.0,1.3,0.0,0.0,0.0,2.5,2500,메가커피,티
ICE 페퍼민트,ICE,710.0,2.5,0.0,0.0,0.0,3.0,2500,메가커피,티
ICE 복숭아아이스티,ICE,710.0,297.1,24.0,62.6,0.0,67.5,3000,메가커피,티
